Categorie,Evenement GA4,Declencheur (Trigger),Parametres / Dimensions personnalisees,Objectif d'analyse
Global,page_view_custom,Chargement de chaque page,"page_path, page_title, referrer",Mesurer le trafic par page et source d'acquisition
Global,scroll_depth,"Scroll a 25%, 50%, 75%, 100%","depth_percent, page_path, time_on_page",Identifier les pages ou les utilisateurs decrochent (ex: methodologie lue a fond = confiance)
Global,modal_open,Clic sur un lien data-modal (A propos / FAQ / Contact / Signaler / Mentions),"modal_name, page_path",Mesurer l'interet pour les sections de reassurance et transparence
Global,outbound_click,Clic sur tout lien externe (target=_blank),"link_url, link_text, is_pdf, is_source_verification, page_path","Mesurer la verification des sources par les utilisateurs (signal de confiance/mefiance). Si is_source_verification=true, l'utilisateur cherche a verifier une proposition"
Global,social_share,Clic sur un bouton de partage (Twitter/Facebook/WhatsApp/Copier),"platform, share_context (simulator_result | comparator), page_path",Viralite et canaux de diffusion privilegies
Comparateur,city_selected,Selection d'une ville dans le comparateur,"city_name, city_slug, nb_candidates, page_path",Top des villes les plus consultees. Correler avec la taille de la commune et le nombre de candidats
Comparateur,search_city,"Saisie dans la barre de recherche ville (debounce 1s, min 2 car)","search_term, search_context (simulator | comparator), page_path","Identifier les villes recherchees mais absentes (opportunite d'ajout). Detecter les fautes de frappe recurrentes"
Comparateur,candidate_filter,Clic sur un filtre candidat (cocher/decocher/tous/aucun),"filter_action (select | deselect | select_all | deselect_all), candidate_name, candidates_selected, candidates_available, page_path",Identifier les face-a-face les plus compares. Detecter si les utilisateurs comparent 2 candidats (duel) ou tous
Comparateur,category_view,Section de categorie visible dans le viewport (scroll spy),"category_id, category_name, time_on_page, page_path","Classement des themes les plus consultes (securite vs transports, etc.). Identifier les themes qui provoquent le plus d'engagement"
Comparateur,source_verification,Clic sur un lien source d'une proposition,"candidate_name, category_id, source_url, time_on_page, page_path","Signal fort de recherche de fiabilite. Si un candidat genere plus de clics sources = mefiance ou interet approfondi"
Comparateur,view_mode_change,Changement de mode d'affichage (radar/tableau/fiches),"view_mode (radar | tableau | fiches), page_path",Quel mode de visualisation est prefere. Le radar est-il utilise ou ignore ?
Simulateur,quiz_start,Clic sur Demarrer (mode Express ou Expert),"city_name, quiz_mode (express | expert), page_path","Taux d'entree dans le quiz par ville. Ratio express/expert = mesure de l'engagement (expert = utilisateur convaincu)"
Simulateur,quiz_step_complete,Reponse a une question du quiz,"step_number, total_steps, category_id, answer_value (1=accord, 0=neutre, -1=contre), time_spent_seconds, page_path","Entonnoir de conversion question par question. Temps de reflexion par theme (long = hesitation). Taux de 'neutre' par theme = indecision"
Simulateur,quiz_answer_changed,"Retour en arriere pour modifier une reponse precedente (clic bouton Precedent, puis reponse differente)","step_number, old_answer, new_answer, page_path","Signal d'hesitation. Si un theme genere beaucoup de changements = sujet clivant ou question mal formulee"
Simulateur,quiz_priorities_set,Validation des 3 themes prioritaires (mode Expert),"priorities (liste separee par virgules), page_path","Top des themes juges prioritaires par les electeurs. Correler avec category_view du comparateur pour valider la coherence"
Simulateur,quiz_result,Affichage de la page de resultats,"city_name, quiz_mode, top_candidate, top_match_pct, podium_json (top 3 avec % match), questions_answered, time_on_page, page_path","KPI principal : qui matche le plus par ville. Distribution des % de match (>80% = electeur convaincu, <50% = electeur perdu). Correler quiz_mode avec match % pour valider la robustesse"
Simulateur,quiz_early_exit,"Clic sur 'Voir mes resultats partiels' (mode Expert, a partir de la question 12)","step_at_exit, total_steps, completion_pct, time_on_page, page_path","Taux d'abandon par etape. A quelle question les utilisateurs decrochent-ils ? Correler avec le theme de la question = theme qui fatigue"
Simulateur,quiz_result_share,Clic sur un bouton de partage dans la page de resultats,"platform (twitter | facebook | whatsapp | copy_link), top_candidate, top_match_pct, page_path","Viralite du quiz. Les utilisateurs avec un match eleve partagent-ils plus ? Quel candidat genere le plus de partages ?"
Lead & Engagement,lead_capture,Soumission du formulaire d'alerte ou newsletter,"form_type (alert | newsletter), page_path, time_on_page",Taux de conversion lead. Correler avec le temps passe sur la page
Lead & Engagement,user_identified,Email capture et hache SHA-256 (apres soumission formulaire),"user_id_hashed (SHA-256), method (report_form | form-alerte | form-newsletter)","Identification anonyme pour deduplication cross-session. JAMAIS d'email en clair dans le dataLayer (conformite RGPD)"
Lead & Engagement,form_submit_report,Soumission du formulaire de signalement d'erreur,"report_city, report_category, time_on_page","Quelles villes et categories generent le plus de signalements = zones a ameliorer en priorite"
FAQ & Reassurance,faq_question_open,Clic pour ouvrir une question dans la FAQ,"question_id, question_text (tronque a 100 car), page_path","Quelles questions sont les plus lues ? Si 'neutralite' est la #1 = besoin de reassurance. Si 'donnees personnelles' = mefiance"
Balisage HTML,data-track-event,Clic sur tout element HTML portant l'attribut data-track-event,"data-track-event (nom evenement), data-track-value, data-track-type, page_path","Tracking declaratif pour boutons CTA, liens specifiques, etc. Independant du design (pas de dependance CSS/ID)"
